Objects
240
,,Global Angle (Quaternion) boxbox:boxbox,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
104,0,-0.001780,-0.005615,-0.039202,0.999214,1381.793213,-80.170662,1063.244751
105,0,-0.001909,-0.005807,-0.039508,0.999201,1381.858276,-80.095917,1063.102661
106,0,-0.002038,-0.006026,-0.039865,0.999185,1381.930786,-80.002991,1062.973145
107,0,-0.002142,-0.006228,-0.040151,0.999172,1382.007690,-79.908005,1062.858765
108,0,-0.002228,-0.006435,-0.040432,0.999159,1382.076172,-79.811668,1062.753418
109,0,-0.002309,-0.006678,-0.040768,0.999144,1382.142822,-79.706764,1062.663086
110,0,-0.002364,-0.006808,-0.041086,0.999130,1382.214478,-79.583817,1062.557861
111,0,-0.002468,-0.006898,-0.041347,0.999118,1382.290771,-79.456596,1062.485962
112,0,-0.002576,-0.006953,-0.041596,0.999107,1382.372070,-79.316307,1062.413818
113,0,-0.002681,-0.007014,-0.041816,0.999097,1382.447998,-79.193184,1062.358398
114,0,-0.002735,-0.007085,-0.042089,0.999085,1382.525757,-79.036880,1062.286499
115,0,-0.002826,-0.007092,-0.042340,0.999074,1382.612183,-78.878059,1062.233521
116,0,-0.002857,-0.007107,-0.042509,0.999067,1382.695679,-78.713684,1062.167969
117,0,-0.002920,-0.007191,-0.042665,0.999059,1382.780884,-78.551819,1062.129761
118,0,-0.002915,-0.007196,-0.042822,0.999053,1382.872314,-78.370598,1062.075317
119,0,-0.002912,-0.007309,-0.042982,0.999045,1382.944214,-78.216248,1062.051636
120,0,-0.002943,-0.007332,-0.043106,0.999039,1383.034302,-78.024925,1062.004272
121,0,-0.002942,-0.007416,-0.043329,0.999029,1383.096069,-77.881615,1061.987915
122,0,-0.002970,-0.007415,-0.043436,0.999024,1383.180542,-77.682205,1061.949951
123,0,-0.002963,-0.007469,-0.043589,0.999017,1383.244995,-77.517044,1061.944214
124,0,-0.002946,-0.007565,-0.043722,0.999011,1383.306396,-77.350616,1061.943481
125,0,-0.002899,-0.007726,-0.043853,0.999004,1383.370361,-77.169632,1061.938354
126,0,-0.002878,-0.007841,-0.043967,0.998998,1383.441895,-76.982712,1061.950317
127,0,-0.002830,-0.008007,-0.044046,0.998993,1383.516968,-76.802765,1061.977173
128,0,-0.002630,-0.008215,-0.044111,0.998989,1383.590088,-76.592880,1061.968384
129,0,-0.002603,-0.008400,-0.044223,0.998983,1383.660156,-76.409569,1062.001831
130,0,-0.002531,-0.008573,-0.044303,0.998978,1383.725586,-76.216255,1062.038086
131,0,-0.002461,-0.008661,-0.044300,0.998978,1383.785522,-76.010994,1062.074463
132,0,-0.002398,-0.008780,-0.044346,0.998975,1383.847168,-75.813530,1062.112915
133,0,-0.002239,-0.008878,-0.044291,0.998977,1383.927979,-75.586731,1062.147461
134,0,-0.002211,-0.008981,-0.044373,0.998972,1383.990479,-75.399361,1062.205933
135,0,-0.002082,-0.009161,-0.044412,0.998969,1384.064331,-75.203560,1062.255249
136,0,-0.001982,-0.009256,-0.044422,0.998968,1384.131958,-75.001640,1062.299316
137,0,-0.001834,-0.009288,-0.044417,0.998968,1384.197754,-74.807648,1062.355713
