Objects
100
,,Global Angle Nico_1:Nico_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
158,0,-0.042387,-0.000815,-0.060034,-33.625736,-92.628799,655.853333
159,0,-0.042150,-0.001751,-0.059591,-33.330589,-92.557938,656.043701
160,0,-0.041647,-0.002787,-0.059237,-33.043701,-92.485283,656.227417
161,0,-0.041627,-0.003919,-0.058710,-32.752254,-92.404495,656.420898
162,0,-0.041650,-0.005072,-0.058446,-32.483536,-92.326904,656.614136
163,0,-0.041353,-0.005842,-0.058146,-32.226177,-92.277893,656.810303
164,0,-0.040933,-0.006162,-0.057917,-31.982534,-92.216347,656.987671
165,0,-0.040408,-0.006487,-0.057462,-31.755671,-92.165359,657.148804
166,0,-0.039944,-0.006979,-0.057196,-31.535238,-92.115791,657.291992
167,0,-0.039636,-0.007696,-0.056977,-31.314404,-92.068436,657.415833
168,0,-0.039541,-0.008129,-0.056600,-31.095863,-92.035110,657.526001
169,0,-0.039718,-0.008327,-0.056169,-30.877850,-91.996277,657.626343
170,0,-0.039591,-0.008371,-0.055959,-30.668598,-91.964310,657.711609
171,0,-0.039651,-0.008160,-0.055713,-30.461582,-91.918976,657.770203
172,0,-0.039681,-0.007886,-0.055505,-30.262793,-91.870583,657.803528
173,0,-0.039775,-0.007518,-0.055096,-30.078695,-91.811493,657.812744
174,0,-0.040076,-0.007203,-0.054740,-29.904234,-91.757889,657.815308
175,0,-0.040474,-0.006878,-0.054451,-29.728376,-91.690453,657.793518
176,0,-0.041133,-0.006269,-0.053943,-29.559269,-91.617279,657.759094
177,0,-0.042143,-0.005688,-0.053351,-29.386074,-91.525558,657.704468
178,0,-0.043306,-0.005207,-0.052961,-29.204769,-91.426765,657.632813
179,0,-0.044387,-0.004785,-0.052415,-29.037611,-91.307098,657.556030
180,0,-0.045349,-0.004676,-0.052125,-28.891165,-91.160271,657.483826
181,0,-0.046291,-0.004590,-0.051869,-28.756613,-90.990578,657.419006
182,0,-0.047118,-0.004534,-0.051626,-28.641434,-90.789528,657.378967
183,0,-0.047488,-0.004185,-0.051102,-28.526451,-90.587303,657.360596
184,0,-0.048100,-0.004070,-0.050772,-28.419531,-90.381332,657.372375
185,0,-0.048672,-0.004093,-0.050458,-28.313869,-90.167702,657.391785
186,0,-0.048886,-0.004164,-0.050115,-28.219025,-89.943283,657.421021
187,0,-0.049085,-0.004345,-0.049739,-28.131937,-89.715553,657.465332
188,0,-0.049214,-0.004304,-0.049236,-28.037729,-89.467476,657.497437
189,0,-0.049006,-0.004119,-0.048861,-27.929802,-89.223877,657.561584
190,0,-0.048876,-0.004189,-0.048397,-27.813787,-88.972885,657.626282
191,0,-0.048401,-0.004012,-0.048049,-27.710117,-88.738045,657.718018
192,0,-0.048026,-0.004078,-0.047589,-27.615095,-88.505821,657.797363
193,0,-0.047416,-0.004346,-0.047126,-27.523363,-88.288414,657.897583
194,0,-0.046830,-0.004342,-0.046672,-27.432392,-88.064850,658.004089
195,0,-0.046278,-0.004326,-0.046354,-27.333582,-87.831917,658.098633
196,0,-0.045897,-0.004206,-0.045974,-27.236502,-87.597237,658.212769
197,0,-0.045089,-0.004103,-0.045686,-27.147657,-87.352859,658.329468
198,0,-0.044594,-0.004263,-0.045651,-27.061531,-87.092628,658.441162
199,0,-0.044156,-0.004684,-0.045521,-26.984631,-86.814903,658.537903
200,0,-0.043972,-0.005142,-0.045313,-26.903715,-86.525505,658.639832
201,0,-0.043850,-0.005574,-0.044989,-26.822128,-86.202400,658.736267
202,0,-0.043922,-0.005935,-0.044681,-26.748491,-85.859718,658.855347
203,0,-0.043778,-0.006501,-0.044023,-26.670382,-85.503204,659.014893
204,0,-0.043618,-0.007361,-0.043805,-26.596188,-85.122353,659.159424
205,0,-0.042723,-0.007901,-0.043606,-26.526461,-84.760155,659.312744
206,0,-0.042005,-0.008762,-0.043029,-26.457806,-84.390091,659.476929
207,0,-0.041534,-0.009507,-0.042592,-26.396074,-83.997208,659.645752
208,0,-0.040752,-0.009590,-0.042037,-26.327776,-83.620308,659.817566
209,0,-0.039806,-0.009345,-0.041453,-26.236168,-83.230576,659.963745
210,0,-0.038927,-0.009073,-0.040705,-26.146152,-82.825890,660.083191
211,0,-0.037819,-0.008874,-0.040326,-26.077238,-82.408875,660.172119
212,0,-0.037313,-0.009259,-0.040169,-26.022875,-81.959106,660.229126
213,0,-0.036805,-0.009478,-0.039712,-25.997637,-81.511772,660.314941
214,0,-0.036338,-0.009196,-0.039208,-25.985941,-81.052116,660.369019
215,0,-0.035796,-0.009198,-0.038604,-25.996962,-80.578308,660.414185
216,0,-0.035148,-0.009527,-0.037980,-26.021057,-80.070633,660.434570
217,0,-0.034575,-0.009469,-0.036936,-26.065544,-79.566025,660.437561
218,0,-0.034164,-0.009485,-0.035994,-26.111919,-79.036797,660.416382
219,0,-0.033865,-0.009325,-0.035370,-26.173050,-78.483620,660.382874
220,0,-0.033266,-0.008823,-0.034652,-26.231932,-77.948067,660.337708
221,0,-0.032640,-0.008007,-0.033909,-26.288935,-77.396935,660.274292
222,0,-0.032215,-0.007036,-0.033279,-26.359385,-76.779327,660.163452
223,0,-0.032080,-0.006419,-0.033052,-26.439318,-76.142784,660.053345
224,0,-0.032026,-0.005722,-0.032637,-26.529207,-75.505737,659.966187
225,0,-0.031840,-0.005403,-0.032389,-26.634178,-74.824387,659.915039
226,0,-0.031148,-0.005162,-0.031952,-26.740953,-74.122284,659.895020
227,0,-0.030359,-0.005152,-0.031240,-26.859144,-73.438744,659.899780
228,0,-0.030080,-0.005003,-0.030248,-26.982908,-72.734787,659.931885
229,0,-0.029359,-0.004793,-0.029147,-27.099287,-71.992844,659.971680
230,0,-0.028190,-0.004676,-0.028427,-27.189014,-71.298759,660.053284
231,0,-0.027564,-0.004595,-0.027283,-27.254959,-70.604446,660.137207
232,0,-0.027053,-0.004746,-0.026266,-27.295349,-69.919907,660.242188
233,0,-0.026277,-0.004917,-0.025568,-27.334303,-69.236565,660.379333
234,0,-0.025642,-0.005452,-0.025012,-27.356359,-68.585152,660.520447
235,0,-0.024714,-0.006386,-0.024622,-27.363340,-67.934959,660.686951
236,0,-0.023412,-0.007080,-0.024516,-27.380856,-67.329063,660.899353
237,0,-0.021878,-0.007644,-0.024584,-27.396914,-66.740364,661.114685
238,0,-0.021516,-0.007842,-0.020643,-27.399586,-65.794891,661.208496
239,0,-0.020017,-0.008201,-0.020500,-27.413731,-65.216293,661.407532
240,0,-0.018404,-0.008013,-0.020307,-27.438326,-64.663956,661.591187
241,0,-0.016744,-0.008206,-0.020270,-27.471884,-64.172157,661.770630
242,0,-0.015226,-0.008028,-0.020146,-27.509859,-63.693100,661.896179
243,0,-0.014172,-0.007269,-0.020231,-27.559912,-63.246468,662.021912
244,0,-0.013396,-0.006966,-0.020281,-27.649858,-62.826603,662.118530
245,0,-0.012396,-0.006561,-0.020249,-27.784580,-62.424000,662.203674
246,0,-0.011376,-0.006294,-0.020475,-27.958920,-62.032516,662.247986
247,0,-0.010223,-0.006724,-0.028099,-28.169519,-61.227795,662.149963
248,0,-0.009371,-0.006437,-0.028457,-28.374615,-60.928268,662.177917
249,0,-0.008985,-0.005894,-0.028903,-28.594210,-60.655872,662.187744
250,0,-0.008702,-0.005367,-0.029608,-28.831755,-60.382942,662.180237
