Objects
100
,,Global Angle (Quaternion) Nico_1:Nico_1,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
101,0,0.002291,0.013714,-0.009273,0.999860,-26.989817,-65.144432,224.814987
102,0,0.002411,0.013866,-0.008711,0.999863,-26.846191,-64.875771,224.744522
103,0,0.002700,0.013906,-0.008218,0.999866,-26.732645,-64.606148,224.695145
104,0,0.002828,0.013888,-0.007655,0.999870,-26.636688,-64.353317,224.656143
105,0,0.002974,0.013804,-0.007055,0.999875,-26.548323,-64.124184,224.634583
106,0,0.003093,0.013656,-0.006395,0.999882,-26.462337,-63.886509,224.623169
107,0,0.003327,0.013520,-0.005717,0.999887,-26.365499,-63.677647,224.643417
108,0,0.003420,0.013335,-0.004946,0.999893,-26.259663,-63.477322,224.664597
109,0,0.003691,0.013221,-0.004168,0.999897,-26.151228,-63.288055,224.696320
110,0,0.003771,0.012940,-0.003558,0.999903,-26.045761,-63.115433,224.727448
111,0,0.004038,0.012689,-0.002923,0.999907,-25.925550,-62.962620,224.752808
112,0,0.004187,0.012541,-0.002387,0.999910,-25.777819,-62.849617,224.773041
113,0,0.004335,0.012285,-0.001955,0.999913,-25.617800,-62.750870,224.781967
114,0,0.004521,0.012152,-0.001648,0.999915,-25.448292,-62.691422,224.807037
115,0,0.004657,0.011960,-0.001442,0.999917,-25.273573,-62.650383,224.813416
116,0,0.004698,0.011848,-0.001342,0.999918,-25.082468,-62.617546,224.802094
117,0,0.004835,0.011729,-0.001315,0.999919,-24.887371,-62.599777,224.796249
118,0,0.004972,0.011650,-0.001350,0.999919,-24.676413,-62.584526,224.778732
119,0,0.005062,0.011486,-0.001479,0.999920,-24.461205,-62.555500,224.747345
120,0,0.005019,0.011300,-0.001594,0.999922,-24.246464,-62.550552,224.715103
121,0,0.004997,0.011167,-0.001743,0.999924,-24.027973,-62.538036,224.653870
122,0,0.005041,0.011028,-0.001789,0.999925,-23.801374,-62.534489,224.575989
123,0,0.005018,0.010993,-0.001860,0.999925,-23.586214,-62.522186,224.505142
124,0,0.004928,0.010987,-0.001889,0.999926,-23.370783,-62.505512,224.426239
125,0,0.004934,0.011115,-0.001893,0.999924,-23.157135,-62.493206,224.356964
126,0,0.004883,0.011059,-0.001909,0.999925,-22.957012,-62.450291,224.272308
127,0,0.004911,0.011138,-0.001878,0.999924,-22.771179,-62.385033,224.185776
128,0,0.004953,0.011196,-0.001804,0.999923,-22.597612,-62.297184,224.083694
129,0,0.004782,0.011190,-0.001699,0.999925,-22.436573,-62.185978,223.955139
130,0,0.004579,0.011149,-0.001499,0.999926,-22.289381,-62.077442,223.863022
131,0,0.004426,0.011030,-0.001329,0.999928,-22.169653,-61.952400,223.809921
132,0,0.004270,0.010808,-0.001084,0.999932,-22.072184,-61.800732,223.775299
133,0,0.004310,0.010685,-0.000771,0.999933,-21.986673,-61.643532,223.758377
134,0,0.004287,0.010440,-0.000383,0.999936,-21.911798,-61.500397,223.769745
135,0,0.004419,0.010272,-0.000016,0.999938,-21.847752,-61.340702,223.788742
136,0,0.004630,0.010125,0.000334,0.999938,-21.780293,-61.192669,223.828262
137,0,0.004836,0.010067,0.000759,0.999937,-21.704010,-61.057579,223.880295
138,0,0.005023,0.010009,0.001129,0.999937,-21.637085,-60.927834,223.931946
139,0,0.005058,0.009916,0.001448,0.999937,-21.566559,-60.792118,223.990448
140,0,0.005116,0.009861,0.001779,0.999937,-21.500387,-60.656475,224.066772
141,0,0.005200,0.009762,0.002180,0.999936,-21.433777,-60.532837,224.162262
142,0,0.005225,0.009607,0.002485,0.999937,-21.358845,-60.417984,224.263962
143,0,0.005395,0.009373,0.002780,0.999938,-21.292564,-60.334713,224.379929
144,0,0.005610,0.009120,0.002946,0.999938,-21.221960,-60.256638,224.490524
145,0,0.005798,0.008763,0.003017,0.999940,-21.140034,-60.199162,224.588486
146,0,0.006031,0.008646,0.003200,0.999939,-21.041655,-60.166595,224.704407
147,0,0.006178,0.008467,0.003134,0.999940,-20.930317,-60.149132,224.809250
148,0,0.006385,0.008445,0.003171,0.999939,-20.823246,-60.146557,224.903625
149,0,0.006450,0.008454,0.003010,0.999939,-20.707541,-60.152527,224.979218
150,0,0.006583,0.008415,0.002853,0.999939,-20.602743,-60.157078,225.027649
151,0,0.006802,0.008482,0.002803,0.999937,-20.486919,-60.179428,225.062317
152,0,0.006847,0.008479,0.002812,0.999937,-20.370716,-60.210011,225.084015
153,0,0.006906,0.008531,0.002898,0.999936,-20.269108,-60.260174,225.094040
154,0,0.006845,0.008516,0.003031,0.999936,-20.171110,-60.320747,225.082214
155,0,0.006733,0.008410,0.003180,0.999937,-20.083870,-60.386108,225.062164
156,0,0.006518,0.008318,0.003327,0.999939,-20.005470,-60.448780,225.040451
157,0,0.006453,0.008231,0.003544,0.999939,-19.925329,-60.496780,225.011246
158,0,0.006293,0.008050,0.003705,0.999941,-19.841005,-60.540890,224.967117
159,0,0.006113,0.007957,0.003809,0.999942,-19.761444,-60.602745,224.936783
160,0,0.005885,0.007854,0.003954,0.999944,-19.677780,-60.657066,224.891678
161,0,0.005629,0.007727,0.003996,0.999946,-19.607016,-60.708977,224.834000
162,0,0.005432,0.007680,0.004078,0.999947,-19.531687,-60.754696,224.771240
163,0,0.005263,0.007630,0.004080,0.999949,-19.455282,-60.822536,224.730850
164,0,0.005222,0.007521,0.004043,0.999950,-19.379351,-60.877998,224.714233
165,0,0.005165,0.007364,0.003980,0.999952,-19.305014,-60.948360,224.726257
166,0,0.005086,0.007105,0.003927,0.999954,-19.246218,-61.047367,224.763000
167,0,0.005220,0.006877,0.003875,0.999955,-19.202339,-61.145008,224.798401
168,0,0.005294,0.006651,0.003793,0.999957,-19.160513,-61.242016,224.836685
169,0,0.005477,0.006537,0.003711,0.999957,-19.100519,-61.346077,224.890961
170,0,0.005572,0.006376,0.003623,0.999958,-19.033758,-61.449520,224.958893
171,0,0.005720,0.006229,0.003474,0.999958,-18.954626,-61.575413,225.045410
172,0,0.005970,0.005882,0.003182,0.999960,-18.869095,-61.720612,225.153824
173,0,0.006180,0.005715,0.002920,0.999960,-18.785290,-61.866646,225.250031
174,0,0.006560,0.005481,0.002571,0.999960,-18.693939,-62.009521,225.322876
175,0,0.006784,0.005313,0.002184,0.999960,-18.595011,-62.179012,225.382477
176,0,0.007151,0.005261,0.001800,0.999959,-18.486130,-62.332489,225.433060
177,0,0.007456,0.005120,0.001342,0.999958,-18.381773,-62.474918,225.467026
178,0,0.007741,0.005163,0.000906,0.999956,-18.275919,-62.622704,225.515305
179,0,0.007892,0.005100,0.000492,0.999956,-18.166492,-62.761360,225.536072
180,0,0.008073,0.004959,0.000004,0.999955,-18.063839,-62.886036,225.525940
181,0,0.008253,0.004776,-0.000423,0.999954,-17.978745,-63.030251,225.538528
182,0,0.008390,0.004757,-0.000869,0.999953,-17.902363,-63.141079,225.529846
183,0,0.008459,0.004741,-0.001131,0.999952,-17.831141,-63.261726,225.512955
184,0,0.008652,0.004777,-0.001391,0.999950,-17.763792,-63.356056,225.492310
185,0,0.008806,0.004819,-0.001629,0.999948,-17.700888,-63.435368,225.466080
186,0,0.008871,0.004823,-0.001796,0.999947,-17.644726,-63.483856,225.427841
187,0,0.008983,0.004809,-0.001891,0.999946,-17.603662,-63.549324,225.391708
188,0,0.008959,0.004716,-0.001903,0.999947,-17.579119,-63.626507,225.334839
189,0,0.009018,0.004604,-0.001927,0.999947,-17.563313,-63.698830,225.250031
190,0,0.009034,0.004609,-0.001837,0.999947,-17.545752,-63.757935,225.149475
191,0,0.009042,0.004636,-0.001802,0.999947,-17.516026,-63.800983,225.030548
192,0,0.009106,0.004884,-0.001747,0.999945,-17.478258,-63.845978,224.893036
193,0,0.009016,0.004912,-0.001769,0.999946,-17.448551,-63.890518,224.748169
194,0,0.008922,0.005093,-0.001721,0.999946,-17.414591,-63.919567,224.581482
195,0,0.008836,0.005260,-0.001706,0.999946,-17.384571,-63.940666,224.393967
196,0,0.008803,0.005307,-0.001752,0.999946,-17.349697,-63.949532,224.194046
197,0,0.008707,0.005386,-0.001728,0.999946,-17.302933,-63.961903,224.008774
198,0,0.008558,0.005368,-0.001796,0.999947,-17.257828,-63.983768,223.846375
199,0,0.008530,0.005375,-0.001758,0.999948,-17.202772,-63.990437,223.682343
200,0,0.008297,0.005426,-0.001746,0.999949,-17.143717,-64.000099,223.508194
201,0,0.008130,0.005381,-0.001825,0.999951,-17.065441,-63.980682,223.296234
202,0,0.007995,0.005306,-0.001974,0.999952,-16.974560,-63.988155,223.116699
203,0,0.007995,0.005391,-0.002068,0.999951,-16.872013,-63.983231,222.950073
204,0,0.008006,0.005450,-0.002224,0.999951,-16.752642,-63.977375,222.786835
205,0,0.008079,0.005602,-0.002388,0.999949,-16.609327,-63.947441,222.628174
206,0,0.008123,0.005728,-0.002689,0.999947,-16.458811,-63.906403,222.470016
207,0,0.008171,0.006203,-0.002865,0.999943,-16.281244,-63.845566,222.306229
208,0,0.008187,0.006526,-0.003138,0.999940,-16.107056,-63.765652,222.136993
209,0,0.008245,0.006954,-0.003208,0.999937,-15.932873,-63.681683,221.976364
210,0,0.008327,0.007145,-0.003193,0.999935,-15.758794,-63.582874,221.828552
211,0,0.008451,0.007144,-0.003119,0.999934,-15.578087,-63.459492,221.700180
212,0,0.008586,0.007162,-0.003196,0.999932,-15.382084,-63.325039,221.594070
213,0,0.008647,0.007028,-0.003311,0.999932,-15.159014,-63.168339,221.479187
214,0,0.008800,0.007052,-0.003316,0.999931,-14.925293,-63.025101,221.394089
215,0,0.008951,0.007168,-0.003364,0.999929,-14.677196,-62.867687,221.308792
216,0,0.009084,0.007257,-0.003369,0.999927,-14.403516,-62.661247,221.205856
217,0,0.009305,0.007376,-0.003467,0.999923,-14.115621,-62.419338,221.106415
218,0,0.009383,0.007253,-0.003723,0.999923,-13.811568,-62.161415,221.016907
219,0,0.009637,0.007306,-0.003785,0.999920,-13.496895,-61.868828,220.924515
220,0,0.009756,0.007516,-0.003683,0.999917,-13.156345,-61.617802,220.878220
221,0,0.009876,0.007677,-0.003612,0.999915,-12.804140,-61.341534,220.806549
222,0,0.010007,0.007792,-0.003487,0.999914,-12.452858,-61.064259,220.747070
223,0,0.010137,0.007677,-0.003417,0.999913,-12.094191,-60.779057,220.711868
224,0,0.010329,0.007680,-0.003308,0.999912,-11.741937,-60.509998,220.707153
225,0,0.010659,0.007610,-0.003116,0.999909,-11.371982,-60.215981,220.709610
226,0,0.011088,0.007532,-0.002972,0.999906,-10.992259,-59.929253,220.694901
227,0,0.011409,0.007663,-0.002833,0.999902,-10.593225,-59.626564,220.672028
228,0,0.011751,0.007952,-0.002453,0.999896,-10.177689,-59.323704,220.611557
229,0,0.011946,0.008328,-0.002179,0.999892,-9.731995,-58.987209,220.515656
230,0,0.011963,0.008651,-0.001886,0.999889,-9.277283,-58.638180,220.407440
231,0,0.011899,0.008835,-0.001692,0.999889,-8.839826,-58.291924,220.311035
232,0,0.011773,0.008893,-0.001529,0.999890,-8.416069,-57.916664,220.211227
233,0,0.011594,0.009058,-0.001203,0.999891,-8.000087,-57.563297,220.135162
