Objects
100
,,Global Angle (Quaternion) nicococo:nicococo,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
113,0,0.012393,0.062108,0.009245,0.997950,21.158333,-179.473984,347.787903
114,0,0.012350,0.062117,0.009766,0.997945,21.046059,-179.780884,347.802521
115,0,0.012151,0.062168,0.010380,0.997938,20.947744,-180.118362,347.837860
116,0,0.011703,0.062238,0.011027,0.997932,20.885574,-180.484344,347.897278
117,0,0.011208,0.062332,0.011761,0.997923,20.861101,-180.875412,347.979797
118,0,0.008941,0.063393,0.011634,0.997881,20.907492,-181.361771,347.950165
119,0,0.008339,0.063541,0.012465,0.997867,20.931128,-181.792175,348.021973
120,0,0.007674,0.063592,0.013210,0.997859,20.967590,-182.224304,348.077209
121,0,0.007080,0.063592,0.014011,0.997853,21.014215,-182.680389,348.126770
122,0,0.006481,0.063486,0.014886,0.997851,21.062870,-183.142944,348.142487
123,0,0.005928,0.063390,0.015781,0.997846,21.113426,-183.607880,348.140350
124,0,0.005432,0.063199,0.016735,0.997846,21.176264,-184.043106,348.113098
125,0,0.004973,0.062989,0.017647,0.997846,21.246408,-184.461578,348.075958
126,0,0.004593,0.062714,0.018527,0.997849,21.312925,-184.855865,348.042084
127,0,0.004999,0.062194,0.020167,0.997848,21.431152,-185.069748,348.012085
128,0,0.004376,0.062026,0.020930,0.997845,21.545664,-185.357849,347.973114
129,0,0.003659,0.061839,0.021577,0.997846,21.671917,-185.599762,347.923615
130,0,0.002897,0.061563,0.022070,0.997855,21.814747,-185.792786,347.860046
131,0,0.002113,0.061163,0.022436,0.997873,21.960674,-185.929825,347.777985
132,0,0.001219,0.060663,0.022651,0.997901,22.112719,-186.018295,347.695496
133,0,0.000257,0.060066,0.022776,0.997935,22.267738,-186.050430,347.619995
134,0,-0.000853,0.059544,0.022972,0.997961,22.413391,-186.045059,347.602844
135,0,-0.001972,0.058997,0.023284,0.997985,22.568327,-185.987152,347.638794
136,0,-0.003175,0.058617,0.023666,0.997995,22.728966,-185.893784,347.738281
137,0,-0.004296,0.058327,0.024199,0.997995,22.869488,-185.775131,347.913910
138,0,-0.005276,0.058129,0.024750,0.997988,23.042356,-185.649841,348.153931
139,0,-0.006040,0.058135,0.025424,0.997967,23.241692,-185.506561,348.453674
140,0,-0.006554,0.058356,0.026226,0.997930,23.454021,-185.370911,348.841949
141,0,-0.006874,0.058711,0.027020,0.997886,23.689753,-185.208466,349.290680
142,0,-0.006958,0.059320,0.027945,0.997824,23.965775,-185.046371,349.783691
143,0,-0.007056,0.060022,0.028683,0.997760,24.271193,-184.866943,350.291809
144,0,-0.007355,0.060963,0.029081,0.997689,24.623110,-184.653290,350.734955
145,0,-0.007136,0.061552,0.029509,0.997642,24.945862,-184.417130,351.197235
146,0,-0.007132,0.061986,0.029639,0.997611,25.273048,-184.146393,351.629791
147,0,-0.007208,0.062431,0.029668,0.997582,25.612288,-183.836304,352.029358
148,0,-0.007459,0.062897,0.029517,0.997556,25.959959,-183.491653,352.440063
149,0,-0.006644,0.062613,0.030207,0.997559,26.389021,-183.156693,352.733093
150,0,-0.007263,0.062941,0.030013,0.997539,26.759539,-182.743088,353.123230
151,0,-0.006740,0.064499,0.029198,0.997468,27.055984,-182.410034,353.465240
152,0,-0.007631,0.065181,0.028887,0.997426,27.406858,-181.969101,353.851959
153,0,-0.008471,0.065720,0.028550,0.997394,27.743805,-181.520142,354.238861
154,0,-0.009296,0.066349,0.028170,0.997355,28.088055,-181.083206,354.622742
155,0,-0.010094,0.066807,0.027640,0.997332,28.407076,-180.654938,355.000275
156,0,-0.011016,0.067344,0.026982,0.997304,28.724154,-180.245483,355.407013
157,0,-0.011930,0.067997,0.026240,0.997269,29.063427,-179.884567,355.873566
158,0,-0.012991,0.068928,0.025454,0.997212,29.412134,-179.551849,356.403839
159,0,-0.014290,0.069909,0.024589,0.997148,29.764980,-179.280975,356.994141
160,0,-0.015561,0.071015,0.023687,0.997073,30.118587,-179.058624,357.621826
161,0,-0.014910,0.071546,0.023556,0.997048,30.522930,-178.982712,358.102753
162,0,-0.015368,0.072253,0.023147,0.996999,30.829197,-178.910736,358.712494
163,0,-0.015389,0.073451,0.022632,0.996923,31.151491,-179.001709,359.111755
164,0,-0.015501,0.073776,0.022599,0.996898,31.390030,-179.104599,359.610321
165,0,-0.015670,0.074260,0.022865,0.996854,31.624279,-179.252426,360.086426
166,0,-0.015920,0.074597,0.023421,0.996812,31.827013,-179.443085,360.554657
167,0,-0.016124,0.074918,0.024461,0.996759,31.992506,-179.663025,361.044708
168,0,-0.016672,0.075081,0.025765,0.996705,32.116005,-179.909378,361.522827
169,0,-0.016981,0.075002,0.027309,0.996665,32.222042,-180.159592,362.014709
170,0,-0.017052,0.074893,0.029060,0.996622,32.316956,-180.417816,362.519806
171,0,-0.017294,0.074481,0.030933,0.996592,32.437592,-180.685944,363.049194
172,0,-0.016758,0.073682,0.033067,0.996593,32.547798,-180.921677,363.612885
173,0,-0.017338,0.073962,0.034507,0.996513,32.687069,-181.197952,364.103088
174,0,-0.018201,0.073359,0.035639,0.996502,32.968132,-181.418777,364.596130
175,0,-0.017513,0.072392,0.037175,0.996529,33.120083,-181.737823,365.198181
176,0,-0.016615,0.072044,0.038943,0.996502,33.396763,-181.831116,365.828827
177,0,-0.015623,0.072588,0.040184,0.996430,33.623592,-181.985397,366.544495
178,0,-0.014028,0.073390,0.041761,0.996330,33.798260,-182.057373,367.294647
179,0,-0.014048,0.073535,0.042486,0.996288,34.055012,-182.151657,367.938141
180,0,-0.014073,0.073705,0.042965,0.996255,34.364658,-182.152588,368.628052
181,0,-0.013996,0.074232,0.043752,0.996182,34.606701,-182.090576,369.387512
182,0,-0.014337,0.074896,0.044786,0.996082,34.830822,-181.977692,370.187469
183,0,-0.015552,0.075455,0.045329,0.995997,35.171230,-181.784485,371.026154
184,0,-0.017456,0.076441,0.045351,0.995889,35.608452,-181.484543,371.948914
