Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
2.475999999999534,1999.9169989234815,,,,-0.0625,3.30859375,-0.369140625,-0.005969888386272841,0.5434944665621996,22.573552629439998,18.199755013048495,0,0,410.8331276299646,0,0,0,0,0.37742628819164614,-0.06541247238917616,-0.6054125401805348,2.677734375,7.3077504015316705,0,1,1,1,0,0,0,0,,
2.5039949999996463,1999.7433135551785,,,,-0.0625,1.55859375,-0.294921875,-0.005969888386272841,0.5434944665621996,22.570611053048804,18.234995152912646,0,0,411.5749831506215,0,0,0,0,0.37742628819164614,-0.06541247238917616,-0.6054125401805348,2.71484375,7.39827792346796,0,1,1,1,0,0,0,0,,
2.5269999999995343,1999.352595014576,,,,-0.25,-0.74609375,-1.5546875,-0.005969888386272841,0.5434944665621996,22.56907143090792,18.24966550621569,0,0,411.8780043999582,0,0,0,0,0.37742628819164614,-0.06541247238917616,-0.6054125401805348,2.681640625,7.483846533927267,0,1,1,1,0,0,0,0,,
2.5529950000001116,1998.9122707287206,,,,-0.984375,-2.755859375,-1.90625,-0.005969888386272841,0.5518373041349198,22.56650447328033,18.310981376463058,0,0,413.2148431421064,0,0,0,0,0.37742628819164614,-0.06541247238917616,-0.6144045870886017,2.654296875,7.574724029573252,0,1,1,1,0,0,0,0,,
2.577994999999646,1998.383835428818,,,,-1.412109375,-3.3203125,-1.453125,-0.005969888386272841,0.5518373041349198,22.564464147634176,18.381249160141866,0,0,414.76303766275197,0,0,0,0,0.37742628819164614,-0.06541247238917616,-0.6144045870886017,2.66015625,7.662521325115007,0,1,1,1,0,0,0,0,,
2.6029999999995344,1997.7214592878915,,,,-1.048828125,-2.04296875,-1.453125,-0.005969888386272841,0.5518373041349198,22.562597908815164,18.47062264696473,0,0,416.74523190892046,0,0,0,0,0.37742628819164614,-0.06541247238917616,-0.6144045870886017,2.64453125,7.751194872736878,0,1,1,1,0,0,0,0,,
2.631994999999646,1996.6984080968127,,,,-0.111328125,1.515625,-1.13671875,-0.006185789845638709,0.5518373041349198,22.558843257034532,18.54364207413204,0,0,418.3231149648954,0,0,0,0,0.37750507150005264,-0.0663771137526576,-0.6144045870886017,2.625,7.852396838610403,0,1,1,1,0,0,0,0,,
2.7059999999995346,1994.9674657222624,,,,0.5,-1.1015625,-1.15625,-0.006185789845638709,0.5595323373703822,22.55188523149461,18.772812451605315,0,0,423.362311880976,0,0,0,0,0.37750507150005264,-0.0663771137526576,-0.6226984198774198,2.68359375,8.108240899838766,0,1,1,1,0,0,0,0,,
2.7289950000001117,1992.2270849799902,,,,1.1875,-1.068359375,-0.982421875,-0.006185789845638709,0.5595323373703822,22.5496100198914,18.7837037474757,0,0,423.56519423474964,0,0,0,0,0.37750507150005264,-0.0663771137526576,-0.6226984198774198,2.6640625,8.188932594481496,0,1,1,1,0,0,0,0,,
2.756994999999646,1990.8468642731996,,,,0.287109375,2.73046875,-0.43359375,-0.006185789845638709,0.5595323373703822,22.547848635607224,18.77717055105904,0,0,423.3847993902607,0,0,0,0,0.37750507150005264,-0.0663771137526576,-0.6226984198774198,2.69921875,8.281380756352771,0,1,1,1,0,0,0,0,,
